count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
469, 234500, -125.945, 46.850,  0.073, 
469, 234500, -125.595, 48.672,  0.221, 
469, 234500, -124.482, 48.800,  0.180, 

470, 235000, -125.954, 46.749, -0.010, 

471, 235500, -125.656, 45.090, -0.174, 
471, 235500, -125.800, 48.348,  0.382, 
471, 235500, -126.038, 46.562,  0.064, 

472, 236000, -125.994, 48.042,  0.218, 
472, 236000, -125.289, 36.063,  0.846, 

473, 236500, -125.123, 35.791,  0.754, 
473, 236500, -120.985, 30.074,  1.019, 
473, 236500, -128.806, 39.572, -0.501, 
473, 236500, -125.915, 48.196,  0.220, 

474, 237000, -125.953, 36.057,  0.731, 
474, 237000, -120.970, 30.035,  1.024, 
474, 237000, -126.166, 48.103,  0.074, 
474, 237000, -126.120, 46.437, -0.088, 

475, 237500, -126.074, 46.500, -0.087, 

476, 238000, -133.524, 31.284,  0.847, 
476, 238000, -126.183, 46.380, -0.009, 

477, 238500, -125.554, 44.215, -0.287, 
477, 238500, -131.215, 29.008,  0.862, 

478, 239000, -125.625, 44.108, -0.286, 
478, 239000, -130.950, 28.199,  0.457, 
478, 239000, -113.902, 32.041,  0.875, 
478, 239000, -123.458, 37.953,  0.139, 

479, 239500, -125.885, 43.757, -0.344, 
479, 239500, -132.854, 33.322, -0.489, 
479, 239500, -121.011, 29.975,  0.976, 
479, 239500, -122.848, 34.244,  0.721, 

480, 240000, -126.265, 43.260, -0.474, 
480, 240000, -121.037, 29.666,  1.100, 
480, 240000, -123.765, 37.895,  0.055, 
480, 240000, -125.994, 43.613, -0.468, 
480, 240000, -122.860, 40.842, -0.694, 
480, 240000, -122.784, 40.939, -0.692, 
480, 240000, -128.984, 39.553, -0.439, 
480, 240000, -130.620, 26.879,  1.282, 

481, 240500, -123.668, 37.969,  0.226, 
481, 240500, -123.064, 40.579, -0.683, 
481, 240500, -128.962, 39.538, -0.410, 
481, 240500, -129.724, 25.730,  1.469, 
481, 240500, -120.478, 37.474,  0.473, 
481, 240500, -131.652, 34.441,  0.287, 
481, 240500, -132.423, 27.213,  0.230, 

482, 241000, -123.615, 37.973,  0.094, 
482, 241000, -128.930, 39.450, -0.396, 
482, 241000, -129.468, 25.264,  1.459, 
482, 241000, -132.065, 26.921,  0.224, 
482, 241000, -126.606, 42.786, -0.538, 

483, 241500, -128.898, 39.495, -0.351, 
483, 241500, -129.585, 25.266,  1.436, 
483, 241500, -126.679, 42.767, -0.410, 
483, 241500, -123.574, 38.034, -0.056, 
483, 241500, -132.046, 27.039,  0.803, 

484, 242000, -128.906, 39.412, -0.405, 
484, 242000, -132.218, 26.823,  0.426, 
484, 242000, -130.365, 36.579,  0.181, 
484, 242000, -123.651, 38.001, -0.008, 
484, 242000, -131.864, 22.576,  1.174, 

485, 242500, -128.952, 39.505, -0.391, 
485, 242500, -129.868, 37.170,  0.147, 
485, 242500, -123.761, 37.901,  0.136, 

486, 243000, -128.931, 39.411, -0.345, 
486, 243000, -129.395, 38.094,  0.208, 
486, 243000, -123.762, 37.900,  0.096, 
486, 243000, -129.444, 37.981, -0.151, 

487, 243500, -128.960, 39.500, -0.315, 
487, 243500, -129.038, 38.232,  0.228, 
487, 243500, -131.247, 44.248, -0.568, 
487, 243500, -129.013, 38.582,  0.162, 
487, 243500, -123.792, 37.870,  0.097, 

488, 244000, -128.665, 39.058, -0.245, 
488, 244000, -128.645, 38.841,  0.213, 
488, 244000, -133.038, 24.817,  0.431, 
488, 244000, -128.576, 39.079,  0.186, 
488, 244000, -118.602, 19.249,  1.459, 
488, 244000, -124.584, 23.947,  1.168, 

489, 244500, -128.228, 39.274,  0.178, 
489, 244500, -133.067, 23.555,  0.450, 
489, 244500, -128.032, 39.536,  0.157, 

490, 245000, -133.682, 43.820, -0.522, 
490, 245000, -132.821, 22.916,  0.659, 
490, 245000, -128.336, 39.376, -0.004, 
490, 245000, -128.995, 39.346, -0.388, 
490, 245000, -128.340, 39.411, -0.533, 

491, 245500, -129.161, 39.081, -0.384, 
491, 245500, -117.598, 19.714,  1.046, 

492, 246000, -129.542, 38.532, -0.436, 
492, 246000, -139.703, 41.561,  1.010, 

493, 246500, -129.877, 38.041, -0.427, 
493, 246500, -129.737, 38.260, -0.370, 
493, 246500, -131.096, 36.766,  0.047, 

494, 247000, -129.952, 37.927, -0.420, 
494, 247000, -139.553, 41.887,  1.116, 

495, 247500, -130.366, 37.382, -0.359, 
495, 247500, -131.089, 36.762,  0.118, 
495, 247500, -120.876, 29.579,  0.686, 
495, 247500, -132.095, 22.616,  1.202, 

496, 248000, -130.720, 36.894, -0.360, 
496, 248000, -120.975, 29.471,  0.604, 
496, 248000, -131.095, 36.775,  0.036, 

497, 248500, -130.975, 36.540, -0.309, 
497, 248500, -123.575, 16.107,  1.044, 
497, 248500, -126.229, 29.988, -0.011, 
497, 248500, -131.103, 36.731,  0.075, 
497, 248500, -131.711, 22.502,  0.540, 

498, 249000, -131.261, 36.085, -0.362, 
498, 249000, -123.713, 16.023,  1.010, 
498, 249000, -131.522, 36.306, -0.055, 
498, 249000, -120.860, 29.667,  0.845, 
498, 249000, -131.203, 36.639,  0.037, 

499, 249500, -131.576, 35.662, -0.370, 
499, 249500, -123.541, 16.076,  1.184, 
499, 249500, -132.804, 36.657,  0.216, 

500, 250000, -131.925, 35.122, -0.370, 
500, 250000, -123.053, 16.263,  1.315, 
500, 250000, -132.938, 36.483,  0.361, 
500, 250000, -126.173, 30.002, -0.010, 
500, 250000, -131.792, 35.311, -0.427, 

501, 250500, -132.231, 34.618, -0.368, 
501, 250500, -133.195, 36.430,  0.270, 
501, 250500, -122.846, 25.199,  0.141, 
501, 250500, -126.936, 19.787,  0.572, 
501, 250500, -141.637, 38.906,  0.671, 

502, 251000, -132.318, 34.442, -0.422, 
502, 251000, -141.675, 38.916,  0.669, 
502, 251000, -138.022, 17.500,  1.213, 

503, 251500, -132.712, 33.894, -0.365, 
503, 251500, -123.201, 16.192,  0.934, 

504, 252000, -132.854, 33.661, -0.363, 
504, 252000, -123.460, 16.066,  0.920, 
504, 252000, -126.247, 29.794,  0.268, 
504, 252000, -131.960, 22.512,  0.504, 

505, 252500, -133.295, 33.070, -0.437, 
505, 252500, -123.800, 15.947,  0.920, 

