count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
59, 29500, 14.223, -7.643, -0.014, 
59, 29500, 14.656,  5.307,  0.199, 

60, 30000, 23.672,  3.382,  0.953, 
60, 30000, 26.469, -1.703,  1.275, 
60, 30000, 14.493, -6.421,  0.074, 
60, 30000, 13.709, -7.806, -0.014, 
60, 30000, 17.114, -7.840, -0.165, 
60, 30000, 16.512,  2.823,  0.532, 

61, 30500, 26.524, -1.200,  1.221, 
61, 30500, 14.456, -6.418, -0.011, 
61, 30500, 16.994, -7.961, -0.305, 
61, 30500, 16.537,  2.818,  0.078, 
61, 30500, 13.828, -7.806, -0.013, 
61, 30500, 36.810, -11.374, -1.520, 
61, 30500, 24.487,  0.597, -0.239, 
61, 30500, 18.263,  3.305,  0.395, 

62, 31000, 16.687,  2.760,  0.275, 
62, 31000, 18.654,  3.690,  0.103, 
62, 31000, 22.706, -9.541, -0.482, 
62, 31000, 36.342, -12.734,  0.337, 
62, 31000, 23.705,  2.969,  1.022, 
62, 31000, 26.527,  8.406,  1.435, 
62, 31000, 13.932, -7.772,  0.086, 
62, 31000, 15.264,  5.055,  0.574, 

63, 31500, 19.058,  4.044,  0.218, 
63, 31500, 15.509,  4.957,  0.564, 
63, 31500, 26.399, -2.844,  1.147, 
63, 31500, 26.869,  7.794,  1.392, 
63, 31500, 36.518, -11.687, -1.436, 

64, 32000, 19.480,  4.558,  0.327, 
64, 32000, 26.493, -2.133,  1.118, 
64, 32000, 26.733,  8.187,  0.814, 
64, 32000, 22.520, -9.803,  0.641, 
64, 32000, 14.437, -6.430, -0.011, 
64, 32000, 24.703,  0.008, -0.032, 
64, 32000, 16.804,  2.658,  0.374, 
64, 32000, 35.827, -13.849, -0.503, 

65, 32500, 19.585,  5.009,  0.226, 
65, 32500, 26.552, -1.784,  0.922, 
65, 32500, 26.707,  8.152,  0.956, 
65, 32500, 22.745, -9.600,  0.627, 
65, 32500, 24.638,  0.525, -0.020, 
65, 32500, 36.882, -11.431, -1.402, 
65, 32500, 22.989, -9.360, -0.437, 
65, 32500, 23.811,  3.103,  0.897, 
65, 32500, 36.601, -12.420,  0.322, 
65, 32500, 17.566, -7.727, -0.418, 

66, 33000, 19.323,  5.733,  0.425, 
66, 33000, 26.418,  8.506,  1.283, 
66, 33000, 36.842, -11.462, -1.378, 
66, 33000, 23.911,  3.096,  0.862, 
66, 33000, 36.558, -12.460,  0.682, 
66, 33000, 17.580, -7.723, -0.413, 
66, 33000, 16.651,  2.790,  0.168, 
66, 33000, 15.456,  4.992,  0.166, 

67, 33500, 20.168,  6.126,  0.440, 
67, 33500, 26.657,  8.292,  1.119, 
67, 33500, 23.956,  2.898,  0.733, 
67, 33500, 16.773,  2.764,  0.158, 
67, 33500, 36.552, -12.173, -0.882, 
67, 33500, 17.421, -7.842, -0.414, 
67, 33500, 28.199, -3.987,  1.146, 

68, 34000, 20.431,  6.561,  0.448, 
68, 34000, 24.042,  2.902,  0.779, 
68, 34000, 16.777,  2.769, -0.074, 
68, 34000, 26.602,  3.020,  0.312, 
68, 34000, 15.571,  5.024, -0.218, 
68, 34000, 17.544, -7.769, -0.137, 

69, 34500, 20.603,  6.813,  0.453, 
69, 34500, 24.189,  2.608,  0.736, 
69, 34500, 17.018,  2.725,  0.043, 
69, 34500, 24.624, -0.181, -0.024, 
69, 34500, 24.711,  0.905,  0.356, 
69, 34500, 24.162,  2.812, -0.025, 
69, 34500, 35.991, -13.424,  1.237, 
69, 34500, 16.981,  2.671, -0.466, 
69, 34500, 27.157,  7.723,  1.185, 

70, 35000, 21.039,  6.860,  0.347, 
70, 35000, 17.101,  2.712,  0.159, 
70, 35000, 29.785, -7.144,  1.014, 
70, 35000, 27.218,  7.574,  1.009, 
70, 35000, 35.207, -14.498,  1.199, 
70, 35000, 24.589, -0.586, -0.015, 
70, 35000, 35.724, -13.594, -0.435, 

71, 35500, 21.282,  7.605,  0.250, 
71, 35500, 16.940,  2.611,  0.145, 
71, 35500, 16.948,  2.556, -0.399, 
71, 35500, 24.627,  0.153,  0.516, 
71, 35500, 24.128,  2.326,  0.092, 
71, 35500, 27.371,  7.414,  0.885, 

72, 36000, 21.201,  8.265,  0.475, 
72, 36000, 17.132,  2.665,  0.035, 
72, 36000, 17.123,  2.598, -0.438, 
72, 36000, 24.692,  0.335,  0.197, 

73, 36500, 17.051,  2.608, -0.005, 
73, 36500, 17.118,  2.582, -0.419, 
73, 36500, 24.135,  2.177,  0.085, 
73, 36500, 24.601, -0.719,  0.262, 
73, 36500, 24.672,  0.220,  0.394, 
73, 36500, 21.963,  8.583,  0.655, 

74, 37000, 16.355,  5.110, -0.286, 
74, 37000, 24.235,  2.035,  0.079, 
74, 37000, 24.709,  0.062,  0.482, 
74, 37000, 17.147,  2.611, -0.005, 
74, 37000, 24.598, -0.695,  0.085, 
74, 37000, 19.335, 10.751,  0.797, 
74, 37000, 17.293,  2.622, -0.401, 

75, 37500, 16.460,  5.072, -0.010, 
75, 37500, 24.650,  0.074,  0.454, 
75, 37500, 17.273,  2.774, -0.095, 
75, 37500, 17.317,  2.735, -0.475, 
75, 37500, 23.930,  2.810,  0.210, 
75, 37500, 22.416,  9.577,  0.671, 

76, 38000, 16.734,  5.283, -0.093, 
76, 38000, 24.600, -0.340,  0.224, 
76, 38000, 23.116,  9.789,  0.739, 
76, 38000, 24.453, -0.711,  0.287, 
76, 38000, 24.487, -1.135, -0.210, 
76, 38000, 27.973,  6.493,  0.784, 
76, 38000, 24.269,  1.739, -0.095, 
76, 38000, 26.930,  1.113,  0.207, 

77, 38500, 16.639,  5.181,  0.063, 
77, 38500, 24.666, -0.259,  0.321, 
77, 38500, 24.320,  1.648, -0.009, 
77, 38500, 24.544, -0.710,  0.212, 

78, 39000, 16.520,  5.103,  0.133, 
78, 39000, 24.201,  2.040, -0.008, 
78, 39000, 24.745,  0.033,  0.378, 

79, 39500, 24.153,  1.842, -0.281, 
79, 39500, 24.840,  0.182,  0.250, 
79, 39500, 27.728,  6.650,  0.651, 
79, 39500, 25.371,  0.356, -0.010, 

80, 40000, 24.185,  1.892, -0.263, 
80, 40000, 24.805, -0.031,  0.415, 
80, 40000, 25.342,  0.165, -0.189, 
80, 40000, 24.553,  2.612,  0.241, 
80, 40000, 16.445,  4.961,  0.065, 
