count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
383, 191500, -90.802, 74.329,  0.565, 

384, 192000, -83.182, 76.958, -0.228, 
384, 192000, -85.472, 75.930,  0.317, 
384, 192000, -90.781, 74.428,  0.914, 

385, 192500, -83.230, 76.981, -0.226, 
385, 192500, -85.420, 75.904,  0.206, 
385, 192500, -90.831, 74.373,  0.409, 
385, 192500, -80.603, 91.982,  0.641, 
385, 192500, -88.912, 100.350,  0.280, 
385, 192500, -91.293, 78.858,  0.480, 
385, 192500, -95.927, 74.522,  0.767, 
385, 192500, -100.296, 81.899,  0.736, 
385, 192500, -83.233, 92.136,  0.878, 
385, 192500, -87.798, 83.850,  0.368, 

386, 193000, -83.384, 76.922,  0.122, 
386, 193000, -85.557, 75.927,  0.062, 
386, 193000, -90.879, 74.431,  0.270, 
386, 193000, -88.817, 100.393, -0.043, 
386, 193000, -92.038, 79.199,  0.731, 
386, 193000, -84.211, 93.103,  0.542, 
386, 193000, -87.855, 83.843, -0.019, 
386, 193000, -91.994, 84.358,  0.544, 
386, 193000, -88.801, 87.596,  0.695, 

387, 193500, -83.837, 76.817, -0.249, 
387, 193500, -92.575, 79.129,  0.588, 
387, 193500, -87.914, 83.848, -0.018, 
387, 193500, -88.721, 87.782,  0.580, 
387, 193500, -85.521, 75.947,  0.361, 
387, 193500, -86.764, 71.483,  0.710, 
387, 193500, -83.536, 76.843, -0.119, 

388, 194000, -93.100, 78.987,  0.389, 
388, 194000, -88.641, 87.770,  0.698, 
388, 194000, -85.716, 76.006,  0.182, 
388, 194000, -92.013, 84.487,  0.587, 
388, 194000, -87.851, 83.935,  0.076, 
388, 194000, -90.965, 74.520,  0.652, 

389, 194500, -93.608, 79.068,  0.389, 
389, 194500, -85.640, 76.024,  0.346, 
389, 194500, -91.895, 84.726,  0.470, 
389, 194500, -87.741, 84.033,  0.070, 
389, 194500, -83.098, 92.196,  0.744, 

390, 195000, -94.381, 79.181,  0.620, 
390, 195000, -85.785, 76.054,  0.229, 
390, 195000, -91.982, 84.669,  0.671, 
390, 195000, -87.897, 83.981,  0.136, 
390, 195000, -91.117, 74.577,  0.119, 
390, 195000, -94.346, 65.118,  0.502, 

391, 195500, -94.946, 78.804,  0.280, 
391, 195500, -87.000, 71.548,  0.696, 
391, 195500, -92.093, 84.557,  0.566, 
391, 195500, -87.968, 83.990, -0.009, 
391, 195500, -94.391, 65.117,  0.231, 
391, 195500, -100.698, 69.868,  1.452, 

392, 196000, -95.501, 78.497,  0.284, 
392, 196000, -92.156, 84.539,  0.686, 
392, 196000, -88.061, 83.959, -0.012, 
392, 196000, -94.324, 65.048,  0.229, 

393, 196500, -96.181, 78.331,  0.421, 
393, 196500, -92.230, 84.599,  0.383, 
393, 196500, -88.138, 83.974, -0.011, 
393, 196500, -94.468, 65.117,  0.226, 
393, 196500, -91.306, 74.655,  0.491, 
393, 196500, -89.878, 85.515,  0.315, 

394, 197000, -96.695, 78.176,  0.423, 
394, 197000, -92.193, 84.604,  0.523, 
394, 197000, -91.215, 74.602,  0.096, 
394, 197000, -84.318, 93.127,  0.511, 
394, 197000, -88.120, 83.952, -0.071, 
394, 197000, -87.237, 71.516, -0.018, 
394, 197000, -91.151, 74.602,  0.656, 
394, 197000, -88.079, 83.961,  0.227, 

395, 197500, -97.246, 77.918,  0.552, 
395, 197500, -92.071, 84.527,  0.380, 
395, 197500, -91.144, 74.602,  0.200, 
395, 197500, -87.977, 83.949, -0.007, 

396, 198000, -92.002, 84.539,  0.491, 
396, 198000, -91.257, 74.703,  0.429, 
396, 198000, -87.871, 83.953,  0.167, 
396, 198000, -96.261, 74.850,  0.901, 

397, 198500, -91.465, 74.821,  0.516, 
397, 198500, -96.552, 75.317,  0.402, 
397, 198500, -91.413, 74.774, -0.127, 
397, 198500, -91.853, 84.767,  0.411, 

398, 199000, -91.342, 74.771,  0.272, 
398, 199000, -91.990, 87.002,  0.550, 

399, 199500, -91.361, 74.746, -0.013, 
