count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
60, 30000, 11.140, -7.595,  0.559, 
60, 30000,  9.672, -8.650,  0.581, 
60, 30000, 12.690, -2.216,  0.480, 
60, 30000,  8.433,  4.024, -0.193, 
60, 30000, 10.347,  0.408, -0.148, 
60, 30000,  9.648, -2.193,  0.042, 
60, 30000,  7.307, -11.334,  0.905, 

61, 30500, 10.254, -0.563,  0.092, 
61, 30500, 11.119, -7.634,  0.406, 
61, 30500,  9.538, -8.633,  0.500, 
61, 30500, 12.939, -2.275,  0.251, 
61, 30500, 10.403,  0.396, -0.436, 
61, 30500, 10.018, -2.303,  0.177, 
61, 30500,  7.394, -11.393,  0.903, 

62, 31000, 10.517, -0.559,  0.134, 
62, 31000, 11.195, -7.651,  0.314, 
62, 31000,  9.569, -8.580,  0.410, 
62, 31000, 13.352, -2.268,  0.324, 
62, 31000, 10.347, -2.360,  0.045, 
62, 31000,  7.368, -11.371,  0.895, 
62, 31000,  8.671,  3.936, -0.098, 
62, 31000,  4.590, -13.897, -0.486, 
62, 31000, 10.669, -0.842, -0.414, 

63, 31500, 10.874, -0.624,  0.135, 
63, 31500, 11.245, -7.562,  0.374, 
63, 31500,  9.742, -8.601,  0.397, 
63, 31500, 13.698, -2.127,  0.169, 
63, 31500, 10.761, -2.626,  0.140, 
63, 31500,  7.517, -10.574,  0.819, 
63, 31500,  8.711,  3.965,  0.068, 
63, 31500,  4.862, -13.952, -0.486, 
63, 31500, 10.662,  3.877, -0.115, 
63, 31500, 10.369,  0.446, -0.168, 
63, 31500,  5.101, -12.507,  0.607, 
63, 31500, 13.698, -2.583,  0.083, 
63, 31500, 10.782, -2.647, -0.425, 

64, 32000, 11.209, -0.869, -0.062, 
64, 32000, 11.230, -7.593,  0.369, 
64, 32000,  9.686, -8.581,  0.394, 
64, 32000, 13.889, -2.499,  0.166, 
64, 32000, 11.145, -2.640,  0.047, 
64, 32000,  7.418, -11.401,  0.886, 
64, 32000,  8.963,  4.026, -0.198, 
64, 32000, 11.200, -2.638, -0.351, 
64, 32000, 11.538, -0.461,  0.047, 
64, 32000, 10.370,  0.446, -0.168, 
64, 32000, 11.522, -0.438, -0.359, 

65, 32500, 11.508, -0.973,  0.044, 
65, 32500, 11.249, -7.623,  0.421, 
65, 32500,  9.783, -8.590,  0.381, 
65, 32500, 14.242, -2.608,  0.317, 
65, 32500, 11.543, -2.766,  0.220, 
65, 32500,  7.429, -10.574,  0.717, 
65, 32500, 11.870, -0.560,  0.100, 
65, 32500, 10.381,  0.457, -0.154, 
65, 32500, 10.656,  3.888, -0.011, 
65, 32500,  5.636, -12.416,  0.711, 

66, 33000, 11.862, -1.084,  0.041, 
66, 33000, 11.258, -7.679,  0.272, 
66, 33000,  9.694, -8.596,  0.374, 
66, 33000, 14.508, -2.732,  0.165, 
66, 33000,  7.499, -11.446,  0.526, 
66, 33000, 10.357,  0.471, -0.355, 
66, 33000, 11.858,  2.191, -0.009, 
66, 33000,  5.522, -12.433,  0.715, 

67, 33500, 12.221, -1.358,  0.044, 
67, 33500, 11.409, -7.580,  0.398, 
67, 33500,  9.763, -8.624,  0.370, 
67, 33500, 12.282, -2.809,  0.097, 
67, 33500, 10.400,  0.474, -0.277, 
67, 33500,  6.831, -11.641,  0.542, 
